link,text,user,date,is-retweet,external-link,quoted-post,stats,pictures,videos,gifs
https://twitter.com/haripakorss/status/458132832#m,CEO Schmidt confirms Google will bid in FCC 700 MHz auction: A rapid change in climate precipitated p.. http://tinyurl.com/2fbebw,"{'name': 'Feeds by Haripako', 'username': '@haripakorss', 'profile_id': '20397532', 'avatar': 'https://pbs.twimg.com/profile_images/20397532/IMG_0437.JPG_bigger.jpg'}","Nov 30, 2007 · 4:52 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/antara_en/status/457924932#m,"Plants tress amid rising climate change concerns: Indonesia, which is believed to be the world`s third .. http://tinyurl.com/ywzjd2","{'name': 'Antara dot co dot id', 'username': '@antara_en', 'profile_id': '23519562', 'avatar': 'https://pbs.twimg.com/profile_images/23519562/an_logo1_bigger.gif'}","Nov 30, 2007 · 3:39 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/BBCScienceNews/status/456933412#m,"Firms such as Nike, Tesco and Nokia call for a legally binding international deal on climate change. http://tinyurl.com/38ojyu","{'name': 'BBC Science News', 'username': '@BBCScienceNews', 'profile_id': '1278363789474349056', 'avatar': 'https://pbs.twimg.com/profile_images/1278363789474349056/9nb06sun_bigger.jpg'}","Nov 30, 2007 · 8:10 AM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/BBCWorld/status/456893272#m,"Firms such as Nike, Tesco and Nokia call for a legally binding international deal on climate change. http://tinyurl.com/2hspa3","{'name': 'BBC News (World)', 'username': '@BBCWorld', 'profile_id': '1529107170448523264', 'avatar': 'https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_bigger.jpg'}","Nov 30, 2007 · 7:50 AM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/BBCBusiness/status/456892582#m,"Firms such as Nike, Tesco and Nokia call for a legally binding international deal on climate change. http://tinyurl.com/38ojyu","{'name': 'BBC Business', 'username': '@BBCBusiness', 'profile_id': '1150790744191492097', 'avatar': 'https://pbs.twimg.com/profile_images/1150790744191492097/uTdRajP1_bigger.jpg'}","Nov 30, 2007 · 7:50 AM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/abcnews/status/455898122#m,Wong swots up for Bali climate change summit: New federal Climate Change Minister Penny Wong says next mo.. http://tinyurl.com/2fa6dn,"{'name': 'ABC News', 'username': '@abcnews', 'profile_id': '1034589406005317632', 'avatar': 'https://pbs.twimg.com/profile_images/1034589406005317632/Cdi3F2ro_bigger.jpg'}","Nov 29, 2007 · 11:34 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/newestdiscovery/status/455430662#m,www.newestdiscovery.com update: Art Used to Study Climate Change? (The vivid sunsets painted by J.M.W. Turner are revered for their ...),"{'name': 'newestdiscovery.com', 'username': '@newestdiscovery', 'profile_id': 'default_profile_bigger.png', 'avatar': 'https://pbs.twimg.com/abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png'}","Nov 29, 2007 · 8:00 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/gigaom/status/455222252#m,GigaOM Alert Climate Change is Gonna Cost Us [Earth2Tech]: Climate change is going to cost a l.. http://tinyurl.com/yqbk74,"{'name': 'GigaOm', 'username': '@gigaom', 'profile_id': '458702422479613952', 'avatar': 'https://pbs.twimg.com/profile_images/458702422479613952/3I1T5T51_bigger.png'}","Nov 29, 2007 · 6:29 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/the_irish_times/status/455037682#m,Govt unveils climate change campaign: A €15 million campaign to raise public awareness about cli.. http://tinyurl.com/3bxgzl,"{'name': 'Irish Times', 'username': '@the_irish_times', 'profile_id': '1922017464', 'avatar': 'https://pbs.twimg.com/profile_images/1922017464/twitter-icon_bigger.gif'}","Nov 29, 2007 · 5:12 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/truemors/status/454869492#m,Venus Helps Predict Climate Changes http://tinyurl.com/2bhnlr,"{'name': 'Truemors', 'username': '@truemors', 'profile_id': '32926232', 'avatar': 'https://pbs.twimg.com/profile_images/32926232/t_bigger.png'}","Nov 29, 2007 · 4:11 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
