link,text,user,date,is-retweet,external-link,quoted-post,stats,pictures,videos,gifs
https://twitter.com/TWalk/status/800754672#m,This should make things interesting (read: bad) on the climate-change-policy front: http://is.gd/aI1 [shaking head],"{'name': 'Tim Walker, traveling light', 'username': '@TWalk', 'profile_id': '1628418005888651266', 'avatar': 'https://pbs.twimg.com/profile_images/1628418005888651266/07O-V0pv_bigger.jpg'}","Apr 30, 2008 · 10:54 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/theTiser/status/800740711#m,Climate change to hit major cities http://tinyurl.com/4zvp3v,"{'name': 'The Advertiser', 'username': '@theTiser', 'profile_id': '1693748048005140482', 'avatar': 'https://pbs.twimg.com/profile_images/1693748048005140482/N8SAYMH1_bigger.jpg'}","Apr 30, 2008 · 10:32 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/CedarEden/status/800720064#m,"LakeStewardshipBlog Climos enlists plankton, venture funds to fight climate change: .. http://tinyurl.com/5nqgbv","{'name': 'Michael R. Martin', 'username': '@CedarEden', 'profile_id': '378800000568665207', 'avatar': 'https://pbs.twimg.com/profile_images/378800000568665207/c20ae90f5450e14bb0d3b167eedabe25_bigger.jpeg'}","Apr 30, 2008 · 9:58 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/gonuke/status/800694245#m,"@JasonCalacanis - Nuclear energy is vital ""wedge"" in climate change response; Patrick Moore (Greenpeace founder) agrees.  Gore left it out","{'name': 'Paul P.H. Wilson⚛', 'username': '@gonuke', 'profile_id': '859374265342337024', 'avatar': 'https://pbs.twimg.com/profile_images/859374265342337024/OGCmQsge_bigger.jpg'}","Apr 30, 2008 · 9:17 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/2iteromania/status/800647972#m,New chapter opens in EU-China Climate Change Partnership (http://www.teleactivities.org/node/975),"{'name': 'Stiri Romania', 'username': '@2iteromania', 'profile_id': '378800000473378639', 'avatar': 'https://pbs.twimg.com/profile_images/378800000473378639/ceb9cbebc63410b131125c6dd4567369_bigger.png'}","Apr 30, 2008 · 8:09 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/Huliq/status/800635238#m,Climate change threats to HIV rates http://tinyurl.com/5tcxu4,"{'name': 'HULIQ', 'username': '@Huliq', 'profile_id': '1060320136', 'avatar': 'https://pbs.twimg.com/profile_images/1060320136/news-huliq_bigger.png'}","Apr 30, 2008 · 7:50 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/pinnovation/status/800601595#m,"#globalsummit we can play a role in addressing greenhouse emissions and global climate change, two issues we are committed by law to solve.","{'name': 'T.B. Woke-Democrat 🏳️\u200d🌈🏳️\u200d⚧️🇺🇦 🟦', 'username': '@pinnovation', 'profile_id': '1730856316200005633', 'avatar': 'https://pbs.twimg.com/profile_images/1730856316200005633/kj75-sWE_bigger.jpg'}","Apr 30, 2008 · 7:00 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/timkitchin/status/800553908#m,Writing an ad about the war on climate change. Why aren't we using social media 2 fix this? Feel a mashup coming on.,"{'name': 'Tim Kitchin', 'username': '@timkitchin', 'profile_id': '752496608437305344', 'avatar': 'https://pbs.twimg.com/profile_images/752496608437305344/jxrXi1ox_bigger.jpg'}","Apr 30, 2008 · 5:53 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/commondreams/status/800533227#m,Climate Change Could Force 1 Billion From Their Homes by 2050: As many as one billion people could l.. http://tinyurl.com/4le3nf,"{'name': 'Common Dreams', 'username': '@commondreams', 'profile_id': '1608245407125049345', 'avatar': 'https://pbs.twimg.com/profile_images/1608245407125049345/8eNcCSwb_bigger.jpg'}","Apr 30, 2008 · 5:24 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/viswanath/status/800489181#m,Spotted Rajendra Pachauri watching IPL!! Is he studying the impact of climate change on cricket??,"{'name': 'Viswanath Durbha', 'username': '@viswanath', 'profile_id': 'default_profile_bigger.png', 'avatar': 'https://pbs.twimg.com/abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png'}","Apr 30, 2008 · 4:24 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
