link,text,user,date,is-retweet,external-link,quoted-post,stats,pictures,videos,gifs
https://twitter.com/CaseySoftware/status/905197737#m,"@brandonsavage nope, it's obviously global warming. er.. global cooling.. er... climate change.  what is it called this time?","{'name': 'Danger Casey', 'username': '@CaseySoftware', 'profile_id': '1610461182493691904', 'avatar': 'https://pbs.twimg.com/profile_images/1610461182493691904/TFSMQ6X__bigger.jpg'}","Aug 31, 2008 · 11:32 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/kwoff/status/905188982#m,McCain's VP is an anthropomorphic climate change sceptic? http://tinyurl.com/5hngwy,"{'name': 'kwoff', 'username': '@kwoff', 'profile_id': '201080834', 'avatar': 'https://pbs.twimg.com/profile_images/201080834/kwoff_wallpaper_bigger.jpg'}","Aug 31, 2008 · 11:18 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/NewGreenStuff/status/905156901#m,Breaking: SHIFTS ON CLIMATE CHANGE - Calcutta Telegraph http://tinyurl.com/6kkhm9,"{'name': 'NewGreenStuff', 'username': '@NewGreenStuff', 'profile_id': '56779975', 'avatar': 'https://pbs.twimg.com/profile_images/56779975/grass_bigger.jpg'}","Aug 31, 2008 · 10:29 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/NewGreenStuff/status/905156867#m,Breaking: Climate change threat to Japanese Zen gardens - Times Online http://tinyurl.com/57l8un,"{'name': 'NewGreenStuff', 'username': '@NewGreenStuff', 'profile_id': '56779975', 'avatar': 'https://pbs.twimg.com/profile_images/56779975/grass_bigger.jpg'}","Aug 31, 2008 · 10:29 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/climatechanges/status/905147618#m,Global Warming - Climate change could mean access to gas reserves: Climate change could mean acces.. http://tinyurl.com/5fvyes,"{'name': 'Climate Change', 'username': '@climatechanges', 'profile_id': 'default_profile_bigger.png', 'avatar': 'https://pbs.twimg.com/abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png'}","Aug 31, 2008 · 10:15 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/climatechanges/status/905147589#m,"Climate Change - Eco-Graffiti and Grassity Moss Art Grace London, New York: Eco-Graffiti and Grass.. http://tinyurl.com/5nxfg3","{'name': 'Climate Change', 'username': '@climatechanges', 'profile_id': 'default_profile_bigger.png', 'avatar': 'https://pbs.twimg.com/abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png'}","Aug 31, 2008 · 10:15 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/uebergeek/status/905142987#m,@ricksanchezcnn - haven't heard much about relationship of hurricanes to climate change (and lack of US/GOP response thereof?),"{'name': 'Amy Alexander', 'username': '@uebergeek', 'profile_id': '569317000', 'avatar': 'https://pbs.twimg.com/profile_images/569317000/showend_bigger.jpg'}","Aug 31, 2008 · 10:08 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/MutualArising/status/905101361#m,"ppl need to write press release for tmrw include katrina, iraq, climate change, globalization, etc - othwise repub have compassion narrative","{'name': 'Eric w/ one wild life', 'username': '@MutualArising', 'profile_id': '1631702238144888857', 'avatar': 'https://pbs.twimg.com/profile_images/1631702238144888857/il0_swXh_bigger.jpg'}","Aug 31, 2008 · 9:04 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/NewGreenStuff/status/905078758#m,"Breaking: Rapid climate change needs a global solution, says scientist - Telegraph.co.uk http://tinyurl.com/5u6dpf","{'name': 'NewGreenStuff', 'username': '@NewGreenStuff', 'profile_id': '56779975', 'avatar': 'https://pbs.twimg.com/profile_images/56779975/grass_bigger.jpg'}","Aug 31, 2008 · 8:29 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/IronAmmonitePix/status/905063103#m,"Telegraph: Rapid climate change needs a global solution, says scientist http://tinyurl.com/5sx54k","{'name': 'Iron Ammonite Photos', 'username': '@IronAmmonitePix', 'profile_id': '701444805595897857', 'avatar': 'https://pbs.twimg.com/profile_images/701444805595897857/alSTuXuu_bigger.jpg'}","Aug 31, 2008 · 8:04 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
