word,sentiment_coeff
climate,32.75599318913399
change,32.36897455020485
via,33.76063316785673
rt,72.83531123619022
global_warming,37.02677387404164
new,60.401625312238075
news,45.04798295009447
global,49.86588477917773
science,35.04769667732918
climatechange,32.516016478380166
us,41.65721638612175
energy,77.23942916176112
report,64.55182701948597
environment,58.1962060874756
obama,65.35412422897389
says,53.9348744968072
real,66.8629541805286
act,34.5334227083178
could,60.77678841824938
people,79.12854419155761
policy,62.54136332391999
poses_grave,29.55893565543935
threat_security,36.730215247036114
today,67.23710245080375
clean_energy,22.137025750944566
fight,55.92974228810582
says_uk,25.12379268557742
action,58.83191782795832
denial_schools,33.872820974977984
weather,78.24364561576857
impact,78.74141544696668
growing_palm,34.285480580642684
name_extreme,39.483628553615084
believe,34.510162580718784
world,64.91474797450832
time,77.49557615013677
like,72.02022741849382
one,63.8413740187849
storms_policy,32.7136669640462
threat,37.3228924049845
makers_deny,30.62984717712943
say,79.62962578731289
climatenamechangeorg_climatenamechange,28.416335917557618
video,58.99657476877976
changes,43.37412978305314
need,78.96951624878234
signed_petition,23.96064090890808
deniers,76.98019167622775
green,72.03728343617662
3_days,28.25211693846782
mitigate,55.276980070185914
targets_tackle,27.985011996384927
left_get,25.054736164245455
study,60.587093988516045
due,63.86452046074443
al_gore,65.97041099298767
may,59.68388818687083
stop_denying,49.14278915797503
address,61.68391729926135
help,57.979023048579656
study_says,37.452705166499555
speed,29.329650420848626
get,65.57876659741456
deny,32.89312388464651
burning_america,59.60792221920931
breaking,36.95866645462001
oil_could,28.151825339658664
dont,80.75394233023805
nation_fire,80.04560359970358
see,43.73111197992821
know,59.506377225877316
scientists,77.21234433955544
president_obama,64.495827028127
think,80.70026755279044
impacts,48.511915246215835
effects,57.32646806376667
adaptation,51.07628799258174
great,44.14427424410002
teaching,29.439377606066444
obama_right,29.763401974415906
linked_pollen,43.92043190028018
2,80.41757471815566
make,71.7879930142997
good,82.40104114446378
mt,76.39704192854947
issue,71.47745793896145
less,29.752363808131896
plan,68.34846981247678
new_epa,33.274704832117266
silicon_valley,49.24969328658557
could_planting,44.33030681669973
future,61.61924902405808
trees_desert,54.06888656279981
obamas,51.746246298516155
time_congress,42.22526222233654
much,73.45003962475482
less_attention,41.71602989001215
allergies_asthma,65.41672998111372
paying_even,54.98185230487139
blog,65.48229278684349
compounds_rising,44.67977189739749
really,45.87024683683615
right,54.17167495858541
bill_require,37.02485463668168
times,46.63550086909397
denial,50.11858559935388
threats_koala,66.60426234464047
making,61.810493329513704
evidence,38.32218406620617
guardian,41.47320106170392
auspol,77.09734519904083
talk,61.182533517786254
fighting,66.34903184710569
pushing_alec,34.69618192066287
tackle,68.17420844105595
read,69.38029610966494
stop,73.2433364748359
politics,59.62787449364435
water,61.63474356815932
three_states,36.27634735944727
california_native,51.999078190249776
solution,51.23279200009341
law,33.95311405488031
alec_bill,34.69980039709938
globalwarming,32.23162634639887
im,49.96444994666528
well,41.97190186023486
extreme_weather,37.5437624943789
rights_agenda,49.811866913726135
still,80.02429034134582
added_civil,48.48099068469904
cause,84.19886921010796
denying,42.30982535335964
study_finds,48.551922268436535
dirty_water,34.943934972078104
fracking_means,33.98781200395588
using_co2,31.524165291626502
post,34.184413054266166
must,45.55449641393767
environmental,34.37748054979027
face,49.318055692183805
38degrees,35.38784515681557
would,78.44883238817783
earth,67.69581075370137
w,58.920625629981345
barack_obama,36.5345560970783
something,46.428411742934415
women_transactional,34.17345443574095
epa_chief,43.922089305586
law_vote4cleanpower,27.944183670234043
cant,76.71936280137393
even,52.5899612775275
2013,39.435851739670426
accept,29.937643313691062
also,55.690658643176114
hot,67.46043345116773
important,35.864470859404854
4,64.6397267683181
require_teaching,47.74964983183456
please_help,40.64139480127785
take,52.72326485391223
call,37.85046836441741
pollution,55.77863879416479
problem,57.36838047640032
risk,61.693360841004775
tackling,31.892217212881427
want,47.011877282724285
going,78.83045864262539
way,42.24627254989599
uk,70.1242782313277
health,46.3932736780185
could_push,36.89204743483513
deniers_war,51.537310871987465
mean,73.19366190123176
check,45.75838283518773
bold_action,23.66295479924367
open_letter,36.63864822562164
denier,63.717173251839725
business,79.80625669184484
causes_global,58.98070763568073
big,37.49783406257612
read_cosign,35.48738976960997
energy_efficiency,49.94652839781631
part,48.2181519651658
gina_mccarthy,46.936601839991894
china_leads,35.92568628225385
kerry_could,40.034969843504435
coral_reefs,39.92028223565689
ipcc,44.49869188998908
urging_take,33.15085908066937
warns,29.41300492158934
spearhead_bilateral,40.93019921183995
whgoveawo,27.782184643153826
carbon,61.95750444427553
yes,51.45065348035601
patience_people,31.40843442209426
china,32.40480342894094
declare_war,31.779946939426793
dont_much,47.95965207003084
warming_effects,52.662632255927
changes_critical,31.57244462632889
planet,79.0355981492913
debate,60.93596966108723
abbott,62.591769714118314
watch,67.21447832925236
cities,33.16253406019778
many,55.84005266365719
interesting,83.07464963794806
demand_president,34.04637059877547
hope,32.33702610285923
better,79.96433776763133
food,44.77518450834407
warming,44.43466477633253
obama_congress,30.062472275971984
bitlyvske47_via,45.176738910590586
