link,text,user,date,is-retweet,external-link,quoted-post,stats,pictures,videos,gifs
https://twitter.com/panchoveta/status/704456087244820481#m,How Leonardo DiCaprio became one of the world's top climate change champions fb.me/QW14rRVz,"{'name': 'Patricia Majluf', 'username': '@panchoveta', 'profile_id': '537123763', 'avatar': 'https://pbs.twimg.com/profile_images/537123763/FSFEM_bigger.BMP'}","Feb 29, 2016 · 11:59 PM UTC",False,,{},"{'comments': 0, 'retweets': 2, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/ElenaLarre/status/704455963370262528#m,#ClimateChange action starts w/ electing leaders who'll make brave & vital changes needed to... ln.is/www.lcv.org/1TbqY via @elchatoprada,"{'name': 'morocha', 'username': '@ElenaLarre', 'profile_id': '672606444928311296', 'avatar': 'https://pbs.twimg.com/profile_images/672606444928311296/0MlP4zdy_bigger.jpg'}","Feb 29, 2016 · 11:59 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/HAYnotHEY/status/704455892322951169#m,AND YES! CLIMATE CHANGE PEOPLE. LETS PUT THOSE LEFTOVERS IN THE COMPOST BIN AND DON'T LEAVE THOSE APPLIANCES ON STANDBY ALRIGHT? FFS,"{'name': '☀️step off man I’m just a fan', 'username': '@HAYnotHEY', 'profile_id': '1472416377332027394', 'avatar': 'https://pbs.twimg.com/profile_images/1472416377332027394/072C_ls7_bigger.jpg'}","Feb 29, 2016 · 11:59 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/JenniLove216/status/704455881400913920#m,#ClimateChange action starts w/ electing leaders who'll make brave & vital changes needed to... ln.is/www.lcv.org/mWqO9 via @RaNCaN23,"{'name': 'Jenni Phann', 'username': '@JenniLove216', 'profile_id': '1086805431673151489', 'avatar': 'https://pbs.twimg.com/profile_images/1086805431673151489/K9O1HYxJ_bigger.jpg'}","Feb 29, 2016 · 11:59 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/LaineAvilaCruz/status/704455865684852737#m,Thanks @LeoDiCaprio for highlighting #climate change in your #Oscar speech. (Here is the... ln.is/amp.twimg.com/v/nqfR8 via @MarkRuffalo,"{'name': 'Elaine Avila Cruz', 'username': '@LaineAvilaCruz', 'profile_id': '898653171974799360', 'avatar': 'https://pbs.twimg.com/profile_images/898653171974799360/61yDUjc-_bigger.jpg'}","Feb 29, 2016 · 11:59 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/NHatzissava/status/704455853219422208#m,We ❤ #LeonardoDiCaprio focused on #climatechange ! #Oscars,"{'name': 'Nandia Hatzissava', 'username': '@NHatzissava', 'profile_id': '803730366632783873', 'avatar': 'https://pbs.twimg.com/profile_images/803730366632783873/TdaDo4mN_bigger.jpg'}","Feb 29, 2016 · 11:58 PM UTC",False,,"{'link': 'https://twitter.com/peta/status/704434626735919104#m', 'text': ""ICYMI: Leonardo DiCaprio's long-awaited #Oscars acceptance speech was focused on an important issue: #ClimateChange."", 'user': {'name': 'PETA', 'username': '@peta', 'profile_id': '1542857370170163203', 'avatar': 'https://pbs.twimg.com/profile_images/1542857370170163203/GEfar21Y_mini.jpg'}, 'date': 'Feb 29, 2016 · 10:34 PM UTC', 'pictures': ['https://pbs.twimg.com/media/Ccanj2bUkAEcD8Q.jpg'], 'videos': [], 'gifs': []}","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/txturtlegroup/status/704455793148452864#m,@LeoDiCaprio excellent speech on climate change last night. Now let us discuss the decline of turtle populations. #turtlesurvivalalliance,"{'name': 'Brian Bower', 'username': '@txturtlegroup', 'profile_id': '648847954019684353', 'avatar': 'https://pbs.twimg.com/profile_images/648847954019684353/krf83ZNR_bigger.jpg'}","Feb 29, 2016 · 11:58 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/ClimateNewsCA/status/704455762173673473#m,#Climate models are failing because of #ClimateChange,"{'name': 'Climate News', 'username': '@ClimateNewsCA', 'profile_id': '856360109261369344', 'avatar': 'https://pbs.twimg.com/profile_images/856360109261369344/G9530yQR_bigger.jpg'}","Feb 29, 2016 · 11:58 PM UTC",False,,{},"{'comments': 0, 'retweets': 2, 'quotes': 0, 'likes': 3}",['https://pbs.twimg.com/media/Cca6yFlXIAAcblN.jpg'],[],[]
https://twitter.com/ClimateNexus/status/704455725037309952#m,Taking aim at #climatechange: Australia's military sees rising challenges buff.ly/1KZjpfq via @smh,"{'name': 'Climate Nexus', 'username': '@ClimateNexus', 'profile_id': '1181967018016288768', 'avatar': 'https://pbs.twimg.com/profile_images/1181967018016288768/104dcBES_bigger.jpg'}","Feb 29, 2016 · 11:58 PM UTC",False,,{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/GeorgeLominadze/status/704455549157449728#m,Dear Leonardo DiCaprio: climate change is not biggest problem facing indigenous and underprivileged people. reason.com/blog/2016/02/29/l…,"{'name': 'George Lominadze', 'username': '@GeorgeLominadze', 'profile_id': '1289141808027570177', 'avatar': 'https://pbs.twimg.com/profile_images/1289141808027570177/bZlRFNcX_bigger.jpg'}","Feb 29, 2016 · 11:57 PM UTC",False,,{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
